school,low_score,high_score
Stanford University,1440.0,1570.0
Harvard College,1460.0,1580.0
Princeton University,1440.0,1570.0
Columbia University,1450.0,1560.0
Yale University,1460.0,1570.0
California Institute of Technology,1530.0,1560.0
Massachusetts Institute of Technology,1500.0,1570.0
Brown University,1440.0,1570.0
University of Chicago,1490.0,1570.0
University of Pennsylvania,1450.0,1560.0
Dartmouth College,1440.0,1560.0
Duke University,1450.0,1570.0
Northwestern University,1440.0,1550.0
Vanderbilt University,1460.0,1560.0
Johns Hopkins University,1470.0,1560.0
Cornell University,1400.0,1560.0
Rice University,1450.0,1560.0
University of California—​Los Angeles,1290.0,1510.0
Tulane University,1360.0,1520.0
University of Southern California,1350.0,1530.0
Georgetown University,1370.0,1530.0
University of California—​Berkeley,1300.0,1530.0
Tufts University,1390.0,1540.0
Washington University in St. Louis,1470.0,1570.0
University of Notre Dame,1400.0,1550.0
New York University,1370.0,1510.0
Northeastern University,1390.0,1540.0
Emory University,1350.0,1520.0
Georgia Institute of Technology,1300.0,1510.0
Boston University,1330.0,1500.0
University of North Carolina—​Chapel Hill,1300.0,1490.0
University of Michigan—​Ann Arbor,1340.0,1530.0
University of Virginia,1340.0,1500.0
University of California—​Irvine,1180.0,1440.0
University of Miami,1280.0,1420.0
Boston College,1370.0,1490.0
Case Western Reserve University,1350.0,1520.0
University of Rochester,1300.0,1500.0
University of California—​Santa Barbara,1260.0,1460.0
Wake Forest University,1320.0,1490.0
University of California—​San Diego,1250.0,1470.0
Brandeis University,1280.0,1500.0
University of Texas—​Austin,1240.0,1470.0
Lehigh University,1280.0,1450.0
Pepperdine University,1220.0,1420.0
College of William and Mary,1320.0,1510.0
University of California—​Davis,1150.0,1410.0
University of Georgia,1240.0,1410.0
University of Wisconsin—​Madison,1330.0,1450.0
University of Illinois—​Urbana-​Champaign,1220.0,1480.0
University of Florida,1280.0,1440.0
